FOODID,FOODNAME_y,FOODTYPE,PROCESS,EDPORT,IGCLASS,IGCLASSP,CA,CAROTENS,FE,FIBC,FOL,ID,K,MG,NACL,NATRIUM,NIA,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN
358,VEGETABLE JUICE,FOOD,MASH,100,VEGJUICE,VEGTOT,19.0,7716.2,0.0,0.0,13.97,1.0,100.0,4.0,917.28,360.0,0.75,0.884,12.0,0.06,0.348,0.06,420.44,0.0,32.0,0.0,0.51,12.0,0.17,0.1
359,CHINESE CABBAGE,FOOD,RAW,100,CABBAGE,VEGTOT,33.0,55.4,0.27,1.1,52.06,0.0,290.0,9.6,28.03,11.0,0.4,0.6,36.0,0.04,10.0,0.03,1.26,0.0,15.5,0.0,0.24,80.0,0.14,0.19
360,SWISS CHARD,FOOD,RAW,100,VEGLEAF,VEGTOT,88.0,3692.0,1.3,1.4,30.0,1.0,470.0,59.0,301.94,118.5,0.4,0.4,30.0,0.16,0.9,0.1,304.568,0.0,39.0,0.0,1.89,830.0,0.27,0.9
362,AUBERGINE,FOOD,RAW,100,VEGFRU,VEGTOT,7.0,31.0,0.27,2.5,18.0,0.0,217.0,14.0,5.1,2.0,0.58,0.9,22.0,0.03,0.0,0.04,2.573,0.0,5.0,0.0,0.09,6.0,0.1,0.0
363,SWEET CORN KERNELS,FOOD,RAW,100,VEGLEAF,VEGTOT,2.0,849.1,0.52,3.7,41.0,0.0,270.0,37.0,7.64,3.0,1.9,2.651,89.0,0.08,0.4,0.15,6.95,0.0,12.0,0.0,0.08,0.3,0.22,0.0
364,GARDEN CRESS,FOOD,RAW,100,VEGLEAF,VEGTOT,70.0,2600.0,1.0,3.3,30.0,0.0,150.0,40.0,35.67,14.0,1.0,1.0,35.0,0.19,0.9,0.15,215.8,0.0,59.0,0.0,0.7,250.0,0.1,0.7
367,CHANTERELLE,FOOD,RAW,100,MUSHRO,VEGTOT,3.6,1329.4,0.85,3.22,7.4,1.0,450.0,10.0,5.1,2.0,3.94,4.433,50.0,0.12,18.0,0.045,110.34,0.0,0.25,5.77,0.0,0.02,0.04,0.77
368,FALSE MOREL,FOOD,RAW,100,MUSHRO,VEGTOT,3.6,0.0,0.85,3.22,21.0,1.0,450.0,0.14,5.1,2.0,3.94,4.433,50.0,0.12,39.0,0.045,0.0,0.0,0.25,5.77,0.0,,0.22,0.73
369,"DILL, FRESH",FOOD,RAW,100,VEGLEAF,VEGTOT,208.0,11231.8,6.59,2.1,36.0,3.9,738.0,55.0,66.25,26.0,1.57,1.804,66.0,0.296,2.7,0.058,374.92,0.0,85.0,0.0,1.59,280.0,0.3,0.91
370,"PEA, GREEN",FOOD,RAW,100,PEABEAN,LEGUTOT,31.0,2134.8,2.0,3.1,58.97,1.0,370.0,40.0,5.1,2.0,2.5,3.385,130.0,0.046,0.6,0.25,31.13,0.0,20.0,0.0,0.03,28.0,0.16,1.3
371,"PEA, GREEN, DRIED",FOOD,DRIE,100,PEABEAN,LEGUTOT,64.0,7624.3,4.8,20.0,33.0,15.0,918.0,110.0,2.55,1.0,3.0,6.161,362.0,0.071,2.143,0.62,111.19,0.0,0.0,0.0,0.06,100.0,0.16,2.9
372,"BEAN, GREEN BEAN, STRING BEAN",FOOD,RAW,100,PEABEAN,LEGUTOT,48.0,657.2,0.7,2.4,80.0,1.0,320.0,22.0,5.1,2.0,0.7,1.151,40.0,0.057,2.5,0.11,16.23,0.0,20.0,0.0,0.13,47.0,0.1,0.4
373,"BEAN, COMMON BEAN, BROWN BEAN, WHITE BEAN, AVERAGE",FOOD,DRIE,100,PEABEAN,LEGUTOT,139.5,180.0,5.25,21.6,441.0,0.0,1285.0,157.5,12.74,5.0,2.0,6.008,422.5,0.2,21.3,0.55,14.94,0.0,0.0,0.0,0.34,13.0,0.47,0.0
375,"NUT, HAZELNUT",FOOD,RAW,100,NUTSEED,LEGUTOT,138.0,106.0,3.6,17.5,72.0,5.0,650.0,157.0,2.55,1.0,1.1,4.607,310.0,0.13,2.0,0.45,1.04,0.0,0.0,0.0,15.03,14.2,0.4,2.0
376,"NUT, WALNUT",FOOD,RAW,100,NUTSEED,LEGUTOT,140.0,21.0,3.6,6.7,66.0,5.0,650.0,160.0,2.55,1.0,1.2,4.507,310.0,0.13,19.0,0.5,1.0,0.0,3.0,0.0,0.7,13.0,0.73,2.0
377,CHESTNUT,FOOD,RAW,100,NUTSEED,LEGUTOT,140.0,18.0,3.6,6.8,62.0,5.0,650.0,33.0,1.53,0.6,0.5,1.001,310.0,0.22,0.0,0.26,1.49,0.0,30.0,0.0,0.5,,0.33,2.0
378,"NUT, PEANUT",FOOD,RAW,100,NUTSEED,LEGUTOT,78.0,15.9,2.9,8.5,110.0,5.0,670.0,180.0,2.55,1.0,13.8,17.975,330.0,0.12,3.0,0.9,0.17,0.0,0.0,0.0,10.89,0.3,0.13,3.1
379,ALMOND,FOOD,RAW,100,NUTSEED,LEGUTOT,276.0,4.0,5.2,12.5,48.0,5.0,740.0,278.0,2.55,1.0,4.0,7.958,490.0,0.7,4.0,0.25,0.25,0.0,0.5,0.0,26.44,0.3,0.06,3.3
380,"FLOUR, SOYA FLOUR, FULL FAT",FOOD,RAW,100,SOYAPROD,LEGUTOT,213.0,24.0,6.9,11.9,345.0,5.0,1660.0,240.0,22.93,9.0,2.0,10.016,600.0,0.28,9.0,0.75,1.99,0.0,0.0,0.0,1.5,70.0,0.57,3.9
381,"FLOUR, SOYA FLOUR, LOW-FAT",FOOD,RAW,100,SOYAPROD,LEGUTOT,240.0,24.0,9.1,14.4,410.0,5.0,2030.0,290.0,35.67,14.0,2.4,13.806,640.0,0.29,11.0,0.9,1.99,0.0,0.0,0.0,0.19,4.1,0.67,3.2
382,COCONUT FLAKE,FOOD,DRIE,100,NUTSEED,LEGUTOT,20.0,0.0,3.0,16.3,9.0,2.0,600.0,70.0,94.28,37.0,0.6,1.619,150.0,0.03,1.0,0.04,0.0,0.0,0.0,0.0,1.21,,0.04,0.9
383,"NUT, PEANUT, SALT",FOOD,BAK,100,NUTSEED,LEGUTOT,74.3,15.4,2.1,8.5,52.0,0.0,674.0,180.0,1974.62,774.97,12.2,16.392,401.0,0.13,2.92,0.32,0.16,0.0,0.0,0.0,10.624,0.39,0.76,0.0
384,"BEANSPROUTS AND ALFALFA SPROUTS, AVERAGE",FOOD,RAW,100,VEGLEAF,VEGTOT,20.0,38.0,1.6,1.5,48.5,0.0,79.0,27.0,15.29,6.0,0.5,1.118,62.0,0.19,1.0,0.2,3.15,0.0,32.1,0.0,0.06,147.0,0.06,0.9
385,"SESAME SEED, WITH HULL",FOOD,DRIE,100,NUTSEED,LEGUTOT,960.2,5.0,9.072,12.3,97.0,0.0,825.0,110.0,66.25,26.0,4.515,10.727,715.0,0.18,49.1,1.47,0.41,0.0,0.0,0.0,0.0,14.0,0.79,6.27
386,"SWEET PEPPER, RED",FOOD,RAW,100,VEGFRU,VEGTOT,9.0,6196.2,0.6,1.9,55.86,1.0,290.0,14.0,8.92,3.5,1.3,1.5,30.0,0.12,0.2,0.04,243.81,0.0,184.8,0.0,2.16,4.6,0.45,0.1
387,"SWEET PEPPER, GREEN",FOOD,RAW,100,VEGFRU,VEGTOT,8.0,4192.7,0.4,1.9,55.86,1.0,120.0,10.0,10.19,4.0,0.1,0.3,19.0,0.01,0.0,0.01,20.73,0.0,120.0,0.0,2.16,9.4,0.27,0.1
388,"SWEET PEPPER, YELLOW",FOOD,RAW,100,VEGFRU,VEGTOT,8.0,4299.4,0.4,2.0,55.86,1.0,220.0,16.0,10.19,4.0,0.7,0.9,26.0,0.02,0.2,0.01,18.77,0.0,204.9,0.0,2.16,2.36,0.54,0.1
389,"ZUCCHINI, SUMMER SQUASH",FOOD,RAW,100,VEGFRU,VEGTOT,15.0,612.0,0.8,0.7,52.0,1.0,360.0,22.0,6.14,2.4,0.2,0.367,45.0,0.02,0.5,0.12,3.32,0.0,21.0,0.0,0.04,3.0,0.1,0.3
390,"TOMATO JUICE, UNSWEETENED",FOOD,MASH,100,VEGJUICE,VEGTOT,8.64,9539.3,0.19,1.4,11.57,1.0,237.1,8.27,917.28,360.0,0.7,0.85,25.9,0.04,0.5,0.06,29.56,0.0,14.1,0.0,0.66,4.0,0.08,0.09
391,"SOYA BEANS, DRIED",FOOD,DRIE,100,PEABEAN,LEGUTOT,163.0,13.0,8.4,15.7,370.0,6.0,1730.0,225.0,12.74,5.0,2.2,9.715,467.0,0.31,19.0,1.1,1.079,0.0,0.0,0.0,0.85,47.0,0.46,1.0
392,CHIVES,FOOD,RAW,100,VEGLEAF,VEGTOT,78.0,2935.0,0.4,2.7,105.0,1.0,400.0,18.0,6.12,2.4,0.7,1.284,49.0,0.2,10.0,0.07,216.796,0.0,41.0,0.0,0.21,212.7,0.22,0.13
393,GARLIC,FOOD,RAW,100,VEGONI,VEGTOT,18.0,21.2,1.5,2.1,4.0,2.7,620.0,8.0,0.0,0.0,0.3,2.204,153.0,0.03,2.0,0.13,0.415,0.0,17.0,0.0,0.08,1.7,1.24,0.9
394,"SALAD, SWEET PICKLE RELISH",FOOD,CANN,100,VEGCANN,VEGTOT,11.58,399.0,0.133,0.421,6.0,41.32,127.96,5.614,1581.84,620.82,0.124,0.221,17.9,0.051,0.375,0.0227,8.631,0.0,6.35,0.0,0.044,8.303,0.03,0.057
395,"BEAN, WHITE BEAN, BOILED",FOOD,BOIL,100,PEABEAN,LEGUTOT,81.66,555.0,1.89,7.0,117.31,0.0,365.0,48.91,12.74,5.0,0.7,2.37,147.9,0.05,0.39,0.12,39.96,0.0,0.0,0.0,0.129,27.0,0.18,0.81
398,"TOMATOES, CRUSHED, CANNED",FOOD,CANN,100,VEGCANN,VEGTOT,8.64,9755.0,0.19,1.9,14.52,1.0,237.1,8.27,99.37,39.0,0.7,0.85,25.9,0.04,0.5,0.06,30.18,0.0,14.1,0.0,0.66,5.0,0.08,0.09
399,"LENTILS, GREEN/BROWN, DRIED",FOOD,DRIE,100,PEABEAN,LEGUTOT,71.0,23.0,11.1,8.9,110.0,,940.0,110.0,30.58,12.0,2.2,5.891,350.0,0.27,11.0,0.41,1.91,0.0,0.0,0.0,0.49,22.0,0.56,3.9
401,"APPLE, DRIED",FOOD,DRIE,100,APPLE,FRUITTOT,38.0,262.0,1.1,8.7,0.0,0.0,750.0,32.0,15.54,6.1,0.6,0.8,54.0,0.159,0.278,0.0,1.0,0.0,3.9,0.0,0.53,11.111,0.18,0.17
408,"APRICOT, CANNED, IN SYRUP",FOOD,CANN,100,FRUITCAN,FRUITTOT,31.0,698.8,0.43,1.3,2.0,1.0,160.0,8.8,18.35,7.2,0.3,0.36,11.0,0.02,0.2,0.02,51.96,0.0,4.0,0.0,0.576,3.0,0.06,0.33
409,"APRICOT, DRIED",FOOD,DRIE,100,APPLE,FRUITTOT,98.3,3575.9,1.363,7.3,14.0,0.0,507.2,27.9,42.55,16.7,2.8,3.034,34.9,0.1,0.5,0.01,230.69,0.0,1.0,0.0,6.24,11.379,0.17,1.046
411,"PEACH, CANNED, IN SYRUP",FOOD,CANN,100,FRUITCAN,FRUITTOT,2.0,210.0,0.3,0.8,7.0,1.0,100.0,6.0,3.82,1.5,0.6,0.633,10.0,0.02,0.45,0.01,11.72,0.0,3.0,0.0,1.95,0.75,0.02,0.3
412,"PEACH, DRIED",FOOD,DRIE,100,APPLE,FRUITTOT,62.0,890.6,3.5,11.6,14.0,0.0,1229.0,50.0,34.91,13.7,1.3,1.684,151.0,0.212,0.5,0.002,54.536,0.0,4.8,0.0,5.647,8.824,0.17,0.1
417,"PINEAPPLE, CANNED, IN SYRUP",FOOD,CANN,100,FRUITCAN,FRUITTOT,20.0,21.5,0.3,1.2,1.0,1.0,120.0,17.0,5.35,2.1,0.284,0.367,17.0,0.02,0.0,0.07,1.58,0.0,9.0,0.0,0.04,0.1,0.08,0.1
423,"GRAPE, AVERAGE, GREEN OR RED, SEEDLESS",FOOD,RAW,100,FRUITOTH,FRUITTOT,9.58,104.9,1.0,1.1,2.0,1.0,201.8,7.2,12.74,5.0,0.188,0.372,23.9,0.04,0.5,0.05,2.7,0.0,4.8,0.0,0.63,19.0,0.04,0.07
427,"MIXED FRUIT, DRIED",FOOD,DRIE,100,FRUITOTH,FRUITTOT,59.0,1325.0,1.7,8.23,15.0,0.0,790.0,48.0,23.95,9.4,1.901,1.733,74.0,0.1,0.456,0.05,79.01,0.0,5.0,0.0,2.858,35.386,0.27,2.3
428,RAISIN,FOOD,DRIE,100,FRUITOTH,FRUITTOT,54.0,0.0,2.4,9.7,10.0,3.0,650.0,30.0,14.01,5.5,0.6,0.684,90.0,0.12,1.852,0.16,0.0,0.0,0.5,0.0,0.32,3.7,0.23,0.3
431,"OLIVE, AVERAGE, WITH STONE, IN OIL, GREEN/BLACK",FOOD,CANN,80,FRUITOTH,FRUITTOT,48.8,646.2,0.8,3.52,0.0,,72.8,17.6,4892.16,1920.0,0.0,0.347,13.6,0.0,0.9,0.0,18.904,0.0,0.0,0.0,1.32,1.12,0.01,0.176
432,"FRUIT COCKTAIL, IN SYRUP",FOOD,CANN,100,FRUITCAN,FRUITTOT,7.3,309.8,0.41,1.1,5.0,3.0,89.0,6.7,10.45,4.1,0.374,0.436,12.0,0.06,0.217,0.06,21.73,0.0,18.0,0.0,0.85,0.8,0.04,0.38
433,"APPLE JUICE, UNSWEETENED, VITAMIN C",FOOD,MASH,100,JUICE,FRUITTOT,9.0,16.0,0.1,0.0,4.0,1.0,110.0,5.0,9.17,3.6,3.2,3.544,6.0,0.03,0.2,0.04,0.0,0.0,30.0,0.0,0.0,0.1,0.06,0.04
434,"ORANGE JUICE, UNSWEETENED, VITAMIN C",FOOD,MASH,100,JUICE,FRUITTOT,10.0,42.1,0.1,0.0,25.0,1.0,190.0,9.0,9.68,3.8,0.4,0.534,16.0,0.02,0.05,0.07,0.75,0.0,36.0,0.0,0.16,0.2,0.08,0.04
435,"GRAPEFRUIT JUICE, UNSWEETENED, VITAMIN C",FOOD,MASH,100,JUICE,FRUITTOT,9.9,23.1,0.13,0.0,6.0,1.0,190.0,10.0,35.67,14.0,0.269,0.386,16.0,0.02,0.1,0.03,0.66,0.0,34.0,0.0,0.32,0.2,0.01,0.04
436,"FRUIT JUICE, UNSWEETENED, VITAMIN C, AVERAGE",FOOD,MIX,100,JUICE,FRUITTOT,9.65,32.8,0.1,0.0,17.65,1.0,162.0,7.6,9.5,3.73,1.38,1.587,12.5,0.023,0.102,0.0595,0.47,0.0,33.9,0.0,0.104,0.165,0.07,0.04
437,"LEMON JUICE, UNSWEETENED, DILUTED",FOOD,MASH,100,JUICE,FRUITTOT,5.0,7.8,0.05,0.0,6.5,0.5,65.0,3.5,2.55,1.0,0.05,0.05,4.0,0.0,0.525,0.05,0.14,0.0,22.0,0.0,0.1,0.1,0.06,0.0
438,"PINEAPPLE JUICE, UNSWEETENED, VITAMIN C",FOOD,MASH,100,JUICE,FRUITTOT,20.0,60.0,0.3,0.0,8.0,1.0,120.0,17.0,10.45,4.1,0.489,0.589,20.0,0.02,0.6,0.05,4.98,0.0,30.0,0.0,0.02,0.2,0.08,0.1
440,"LINGONBERRY, COWBERRY",FOOD,RAW,100,BERRY,FRUITTOT,22.0,31.3,0.4,2.6,19.6,1.0,80.0,9.0,5.1,2.0,0.5,0.634,17.0,0.005,0.1,0.063,0.76,0.0,10.7,0.0,1.53,9.0,0.01,0.2
441,CRANBERRY,FOOD,RAW,100,BERRY,FRUITTOT,9.7,50.0,0.11,3.5,2.0,1.0,69.0,5.8,1.02,0.4,0.1,0.234,7.5,0.07,10.0,0.05,1.79,0.0,20.1,0.0,0.94,9.0,0.06,0.1
442,"BLUEBERRY, BILBERRY",FOOD,RAW,100,BERRY,FRUITTOT,19.0,310.5,0.6,3.3,11.2,1.0,110.0,9.0,5.1,2.0,0.4,0.567,20.0,0.014,0.1,0.133,3.92,0.0,7.16,0.0,1.85,9.0,0.06,0.15
444,BLACKCURRANT,FOOD,RAW,100,BERRY,FRUITTOT,72.0,542.2,1.2,5.8,14.2,1.0,340.0,24.0,5.1,2.0,0.3,0.517,58.0,0.017,0.1,0.042,8.2,0.0,128.0,0.0,2.23,30.0,0.08,0.31
445,REDCURRANT,FOOD,RAW,100,BERRY,FRUITTOT,40.0,71.5,0.79,5.0,12.0,1.0,310.0,14.0,1.53,0.6,0.3,0.55,47.0,0.07,0.1,0.05,2.05,0.0,30.0,0.0,0.82,11.0,0.04,0.2
446,GOOSEBERRY,FOOD,RAW,100,BERRY,FRUITTOT,29.0,263.5,0.4,3.4,8.0,1.0,200.0,10.0,0.51,0.2,0.3,0.45,25.0,0.07,0.1,0.05,7.287,0.0,30.0,0.0,0.73,15.0,0.02,0.1
447,STRAWBERRY,FOOD,RAW,100,BERRY,FRUITTOT,21.0,44.5,0.5,1.9,29.9,1.0,190.0,15.0,5.1,2.0,0.6,0.717,30.0,0.023,0.102,0.034,0.95,0.0,45.6,0.0,0.56,5.5,0.06,0.1
448,RASPBERRY,FOOD,RAW,100,BERRY,FRUITTOT,35.0,95.9,1.1,3.7,37.7,1.0,220.0,25.0,5.1,2.0,0.5,0.717,37.0,0.024,0.1,0.029,1.09,0.0,20.5,0.0,0.88,10.2,0.09,0.4
449,CLOUDBERRY,FOOD,RAW,100,BERRY,FRUITTOT,16.0,240.9,0.7,6.3,37.9,1.0,170.0,29.0,5.1,2.0,0.5,0.801,36.0,0.023,0.1,0.072,14.43,0.0,61.6,0.0,2.95,9.0,0.09,0.6
451,"BERRY JUICE, SWEETENED, UNDILUTED, HOME-MADE",FOOD,BOIL,100,FBDRINK,FRUITTOT,28.2,145.8,0.528,0.0,5.0,0.0,163.5,9.55,1.78,0.7,0.15,0.253,26.3,0.02,0.3,0.01,2.43,0.0,2.0,0.0,0.0,10.25,1.22,0.0
452,"BLACKCURRANT JUICE, SWEETENED, UNDILUTED, HOME-MADE",FOOD,BOIL,100,FBDRINK,FRUITTOT,36.2,257.5,0.63,0.0,5.0,0.0,171.0,12.05,61.15,24.0,0.15,0.247,29.1,0.02,0.3,0.01,3.9,0.0,30.0,0.0,0.01,15.0,1.22,0.0
453,"BERRY JUICE, UNSWEETENED, UNDILUTED, HOME-MADE",FOOD,BOIL,100,FBDRINK,FRUITTOT,29.5,145.8,0.498,0.0,5.0,0.0,162.5,9.5,2.93,1.15,0.15,0.253,26.3,0.02,0.075,0.01,2.43,0.0,2.0,0.0,0.724,10.25,1.22,0.0
454,"BERRY, AVERAGE",FOOD,RAW,100,BERRY,FRUITTOT,37.0,164.9,0.9,3.5,20.38,1.0,234.0,18.0,1.27,0.5,0.46,0.624,40.0,0.07,0.101,0.04,2.708,0.0,44.0,0.0,1.226,11.785,0.07,0.3
455,SEA BUCKTHORN BERRY,FOOD,RAW,100,BERRY,FRUITTOT,4.6,860.0,0.14,3.6,10.0,0.0,160.0,4.7,5.61,2.2,0.26,0.26,20.0,0.07,10.0,0.18,71.38,0.0,140.0,0.0,3.05,13.5,0.13,0.13
457,"ROWANBERRY, SORBUS",FOOD,RAW,100,BERRY,FRUITTOT,53.0,105.0,0.53,6.5,10.0,1.0,260.0,26.0,3.06,1.2,0.5,0.634,38.0,0.005,10.0,0.063,8.134,0.0,59.7,0.0,0.489,9.0,0.07,0.19
458,"JUICE DRINK, BLACKCURRANT-LINGONBERRY, CONTAINS SUGAR",FOOD,MASH,100,FBDRINK,FRUITTOT,9.0,19.7,0.4,0.0,5.0,0.0,135.0,7.0,2.55,1.0,0.029,0.04,10.0,0.02,0.09,0.4,0.31,0.0,2.0,0.0,0.131,1.415,0.08,0.04
459,"JUICE DRINK, LINGONBERRY, UNDILUTED, CONTAINS SUGAR",FOOD,MASH,100,FBDRINK,FRUITTOT,9.0,9.4,0.4,0.0,0.0,0.0,135.0,7.0,3.08,1.21,0.15,0.19,10.0,0.02,0.11,0.4,0.23,0.0,2.0,0.0,0.459,2.7,0.08,0.04
461,"BERRY JUICE, SWEETENED, DILUTED, HOME-MADE",FOOD,BOIL,100,FBDRINK,FRUITTOT,8.04,29.2,0.106,0.0,1.0,0.0,32.7,1.91,2.4,0.94,0.03,0.04,2.0,0.003,0.1,0.0015,0.49,0.0,0.26,0.0,0.0,2.05,0.24,0.0
462,"BLACKCURRANT JUICE, SWEETENED, DILUTED, HOME-MADE",FOOD,BOIL,100,FBDRINK,FRUITTOT,9.64,51.5,0.126,0.0,1.0,0.0,34.2,2.41,14.27,5.6,0.03,0.04,2.0,0.003,0.1,0.0015,0.78,0.0,3.9,0.0,0.002,3.0,0.24,0.0
463,"BERRY JUICE, UNSWEETENED, DILUTED, HOME-MADE",FOOD,BOIL,100,FBDRINK,FRUITTOT,8.3,29.2,0.1,0.0,1.0,0.0,32.5,1.9,2.63,1.03,0.03,0.04,5.3,0.003,0.055,0.0015,0.49,0.0,0.26,0.0,0.145,2.05,0.24,0.0
469,"FRUIT JUICE, FIVE FRUITS, UNSWEETENED, VITAMIN C",FOOD,MASH,100,JUICE,FRUITTOT,9.0,43.5,0.4,0.0,21.8,1.0,135.0,7.0,4.33,1.7,0.502,0.639,10.0,0.02,0.098,0.07,0.964,0.0,31.0,0.0,0.173,0.196,0.07,0.04
471,"PINEAPPLE, CANNED, IN OWN JUICE",FOOD,CANN,100,FRUITCAN,FRUITTOT,9.77,60.0,1.0,1.4,9.15,1.0,104.0,12.4,12.74,5.0,0.284,0.368,6.8,0.01,0.5,0.09,4.98,0.0,7.5,0.0,0.02,0.2,0.09,0.11
472,"APPLESAUCE, UNSWEETENED",FOOD,MASH,100,FRUITCAN,FRUITTOT,4.0,39.0,0.08,1.8,1.0,1.15,100.0,4.0,2.34,0.92,0.1,0.15,9.0,0.015,0.05,0.016,3.69,0.0,9.0,0.0,0.24,3.0,0.05,0.016
473,"FRUIT NECTAR, BERRY NECTAR, SWEETENED, 50% FRUIT",FOOD,MASH,100,FBDRINK,FRUITTOT,6.53,27.0,0.148,0.301,5.41,0.8,84.45,4.916,6.86,2.69,0.474,0.561,7.7,0.016,0.466,0.0243,1.08,0.0,12.97,0.0,0.153,1.365,0.04,0.033
474,"BERRY JUICE, UNSWEETENED",FOOD,MASH,100,JUICE,FRUITTOT,31.9,134.9,0.765,0.0,17.32,0.85,198.9,15.3,1.46,0.58,0.391,0.53,34.0,0.06,0.093,0.034,2.21,0.0,37.4,0.0,1.011,10.017,0.06,0.255
477,"MUSKMELON/CANTALOUPE MELON, WITHOUT SKIN",FOOD,RAW,100,FRUITOTH,FRUITTOT,20.0,105.0,0.3,0.9,5.0,4.0,210.0,11.0,20.38,8.0,0.6,0.633,13.0,0.02,0.4,0.04,3.69,0.0,26.0,0.0,0.05,1.0,0.06,0.0
478,"BERRY NECTAR DRINK, SWEETENED, CONTAINS 50% BERRIES",FOOD,BOIL,100,FBDRINK,FRUITTOT,24.1,139.3,0.44,1.925,11.02,1.75,133.0,9.775,3.25,1.28,0.225,0.309,22.0,0.01,0.188,0.019,2.17,0.0,43.4,0.0,0.663,8.875,0.03,0.105
11001,"(ARC)ROOT VEGETABLE, AVERAGE, LIGHT COLORED",FOOD,RAW,100,ROOT,VEGTOT,23.38,46.4,0.395,1.875,34.89,0.93,387.5,16.2,10.38,4.08,0.855,1.107,39.6,0.043,5.271,0.1192,0.334,0.0,27.05,0.0,0.021,1.442,0.11,0.207
11002,"(ARC)LEAF VEGETABLE, AVERAGE, DARK GREEN",FOOD,RAW,100,VEGLEAF,VEGTOT,72.5,5233.4,1.25,1.45,122.63,1.0,490.0,36.5,56.05,22.0,0.8,1.184,37.0,0.155,5.1,0.085,178.41,0.0,32.25,0.0,0.925,192.5,0.14,0.475
11005,4-GRAIN FLAKES,FOOD,RAW,100,WHEAT,CERTOT,30.0,195.8,4.1,11.5,39.82,20.0,396.0,109.0,12.74,5.0,2.675,5.18,327.8,0.1,8.765,0.24,0.22,0.0,0.0,0.0,0.42,3.2,0.33,2.875
11007,ROSE HIP,FOOD,RAW,100,BERRY,FRUITTOT,130.0,6300.0,0.33,8.3,52.0,1.0,360.0,29.0,3.06,1.2,0.5,0.533,46.0,0.07,10.0,0.06,522.9,0.0,601.0,0.0,7.1,25.9,0.05,0.33
